product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_kia_cadenza,2015,kia,0.3935,0.00011856,0.3491836983034303,0.112620843,5602,0.988361048,3.7275,2.93,2.2,Car,ICE,Korea
2015_kia_forte,2015,kia,0.1749,0.001303714,0.13649482401355367,0.21958362485103675,61601,0.8738159162980002,2.844,1.45,3,Car,ICE,Korea
2015_kia_k900,2015,kia,0.572,5.927294862284267e-05,0.5222824240176023,0.086918839,2765,1.042005489,4.555,4.2,1.8,Car,ICE,Korea
2015_kia_optima,2015,kia,0.25065,0.002877479,0.20994711469904628,0.1623893289485486,135962,0.953499939,3.2995,1.92,2.7,Car,ICE,United States
2015_kia_optimahybrid,2015,kia,0.2907,0.000153422,0.2476013940319755,0.14825801846585657,7179,0.953499939,3.559,1.99,3.75,Car,Hybrid,Korea
2015_kia_rio,2015,kia,0.1519,0.00028567,0.11453927661845252,0.24595604596147128,13498,0.808168698,2.573,1.38,3.1,Car,ICE,Korea
2015_kia_sedona,2015,kia,0.303,0.000468525,0.259766247,0.142685653,22138,1.248959642,4.4765,2.76,2,Van,ICE,Korea
2015_kia_sorento,2015,kia,0.285,0.000692418,0.24382017006334392,0.14449063135668794,32717,0.950172161,3.722,2.9,2.1,SUV,ICE,United States
2015_kia_soul,2015,kia,0.1719,0.002473885,0.13262961150551023,0.22844903138155773,116892,0.8025485597480001,2.784,1.3,2.6,Car,ICE,Korea
2015_kia_soulev,2015,kia,0.347,2.4816762366740735e-05,0.30413297587818106,0.12353609257008336,643,0.8025485597480001,3.289,1.09,10.5,Car,Electric,Korea
2015_kia_sportage,2015,kia,0.2515,0.00069718,0.21004981707837983,0.16481186052334065,32942,0.8861388321760001,3.426,1.82,2.3,SUV,ICE,Korea
2015_landrover_discoverysport,2015,landrover,0.4157,4.599457188888808e-05,0.3701721714351181,0.10952087699033417,2154,1.0765388199903998,3.957,2.4,2.2,SUV,ICE,Great Britain
2015_landrover_lr2,2015,landrover,0.3666,1.1582611582911872e-05,0.323164176,0.11848288013325686,540,1.0638297930260001,4.079,2.4,2,SUV,ICE,Great Britain
2015_landrover_lr4,2015,landrover,0.5285,0.000115089,0.4750431536205581,0.10114824291285122,5438,1.1313589553708001,5.655,3.4,1.6,SUV,ICE,Great Britain
2015_landrover_rangeroverevoque,2015,landrover,0.489,0.000240675,0.4410829529998692,0.097989871,11372,0.9801700761580001,3.68,2.4,2.4,SUV,ICE,Great Britain
2015_landrover_rangeroversport,2015,landrover,0.79995,0.000315997,0.7291565812961933,0.088497304,14931,1.1604777035072003,5.093,5.1,1.6,SUV,ICE,Great Britain
2015_lexus_cthybrid,2015,lexus,0.322,0.000279928,0.2737976714370174,0.14969667255584665,13166,0.826277725,3.13,1.34,4.2,Car,Hybrid,Japan
2015_lexus_es,2015,lexus,0.377,0.000896099,0.3272164833097847,0.13205176840905916,42341,0.959485355,3.549,2.68,2.4,Car,ICE,Japan
2015_lexus_eshybrid,2015,lexus,0.4058,0.000186142,0.3549716680958523,0.12525463751638172,8753,0.959485355,3.66,2,4,Car,Hybrid,Japan
2015_lexus_gs,2015,lexus,0.5085,0.000451827,0.4544489712977453,0.1062950416956827,21349,0.9587971608592001,3.726,3.06,2.3,Car,ICE,Japan
2015_lexus_gx,2015,lexus,0.49485,0.000426409,0.4411120258704474,0.10859447131363567,20148,0.989848548,5.128,3.01,1.7,SUV,ICE,Japan
